Title,Sentiment Score,Sentiment Category
Blinding Lights,0.032142857,Positive
Starboy,0.131546232,Positive
Die For You,0.122994987,Positive
The Hills,-0.032066116,Negative
Save Your Tears,0.137857143,Positive
Call Out My Name,0.236904762,Positive
I Feel It Coming,0.27952381,Positive
Can't Feel My Face,0.292021277,Positive
Earned It (Fifty Shades Of Grey),0.27231405,Positive
"One Of The Girls (with JENNIE, Lily Rose Depp)",0.271604938,Positive
Creepin',0.21796875,Positive
Stargirl Interlude,0.416666667,Positive
Reminder,0.048128106,Positive
I Was Never There,0.03125,Positive
Often,0.089619883,Positive
After Hours,-0.021164021,Negative
Heartless,0.070752499,Positive
Die For You (with Ariana Grande) - Remix,-0.001378446,Negative
"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",0.001451546,Positive
Lost in the Fire (feat. The Weeknd),0.309753788,Positive
Popular (with Playboi Carti & Madonna),0.387075617,Positive
Love Me Harder,0.20762987,Positive
Pray For Me,0.2373446,Positive
In Your Eyes,-0.159375,Negative
Low Life (feat. The Weeknd),0.002222222,Positive
You Right,0.234003497,Positive
Party Monster,0.37270202,Positive
Is There Someone Else?,0.404761905,Positive
One Right Now (with The Weeknd),0.15,Positive
Wicked Games,0.209088582,Positive
In The Night,-0.070185185,Negative
Acquainted,0.13735242,Positive
Out of Time,0.145796131,Positive
LA FAMA,0,Neutral
The Morning,0.016853305,Positive
Sidewalks,0.102752268,Positive
Sacrifice,0.21352657,Positive
House Of Balloons / Glass Table Girls,0.194050224,Positive
Some Way,-0.014583333,Negative
Timeless (with Playboi Carti),-0.026608187,Negative
Try Me,0.445138889,Positive
Crew Love,0.309163898,Positive
Secrets,0.261538462,Positive
High For This,0.235904762,Positive
Wasted Times,0.128462302,Positive
Hurt You,0.004166667,Positive
Less Than Zero,0.358333333,Positive
K-POP,-0.06728836,Negative
False Alarm,-0.177142857,Negative
Six Feet Under,-0.022683355,Negative
True Colors,0.2368083,Positive
What You Need,0.336111111,Positive
Tell Your Friends,-0.072893218,Negative
Dark Times,0.057561249,Positive
Rockinâ,0.09375,Positive
A Lonely Night,0.102884615,Positive
The Party & The After Party,-0.002406089,Negative
Often - Kygo Remix,0.035138889,Positive
Might Not,-0.013194444,Negative
Coming Down,-0.139295635,Negative
Shameless,0.196266234,Positive
Ordinary Life,-0.121621622,Negative
Double Fantasy (with Future),-0.219571429,Negative
Take My Breath,0.245089286,Positive
Prisoner,-0.082738095,Negative
Faith,0.194003527,Positive
Privilege,-0.034502924,Negative
Power is Power (feat. The Weeknd & Travis Scott),0.375,Positive
Hardest To Love,0.167794486,Positive
Comin Out Strong (feat. The Weeknd),0.169270833,Positive
Nothing Without You,-0.004166667,Negative
Attention,0.05787037,Positive
Escape From LA,-0.141175359,Negative
Alone Again,-0.042881944,Negative
Too Late,0.040379,Positive
All I Know,-0.073370257,Negative
Scared To Live,0.140311688,Positive
off the table (with The Weeknd),-0.105387487,Negative
Snowchild,-0.044405594,Negative
Curve (feat. The Weeknd),0.126264881,Positive
Love To Lay,-0.211333333,Negative
How Do I Make You Love Me?,0.103246753,Positive
Gasoline,0.046581028,Positive
As You Are,-0.007954545,Negative
Dancing In The Flames,0.246825397,Positive
Angel,0.366381346,Positive
Real Life,0.156363636,Positive
Twenty Eight,-0.311111111,Negative
The Zone,0.083873657,Positive
Losers,0.158823529,Positive
Best Friends,0.354032258,Positive
Hawái - Remix,-0.094444444,Negative
